userName,content
Daniel Junaedi Samosir,beritanya terupdate terpercaya
Abdul Hafiz,mntap info menarik
Ahmad Nasikhin,jos
adha syah,asyik menambah informasi
Rachmad Hasyim (Mad),beritanya aktual terpercaya
Pengguna Google,saya pembaca setia detikcom  beritanya aktual  mudah akses   dan membantu pengetahuan berita peristiwa yg   terimakasih detikcom  sukses     video    detik  kadang lambat respon nya    
SIE STEVEN,oke   
herold angran,berkualitas
Rika Monika,terimakasih detikcom  menyuguhkan berita terbaik terpercaya   semoga berjaya
yudistira kheiz,ayolah   scroll berita muncul iklan   klik langsung oper lazada   gak      berkali   meresahkan sih  jd kaya aplikasi pishing
Sumarno Mar,tulisan berita diselak iklan
Asiani SPd.I,tolong perbaiki aplikasinya mode landcape  tolong ya     biar enak baca pakek tablet
Sujatmiko -,bacaan hangat aktual yg mudah diakses darimana saja  terimakasih
Adie 1331,mantaf
Mey Arman,terkadang judul   yg dlm berita yg isinya diulang   seringkali ditambah diawal pemaparan berita yg dgn sebelum sebelumnya
FITRI ANI,kebayakan iklan
Ipan Pardianto,selalu update pokok nya
AKUN SYARIPUDIN,sush log in berubah akun mpc
Official Tac,terlalu log out dr akun jd mempersulit tulis komentar dll
"Ahmad Fatoni, SH",banyak berita yg keturup iklan  males baca
Aldy Agasta,mantab  
Agus Mustakim,ok bgt
adl-ha wijaya,berita nya aktual
bakri akki,sangat update
Aprin Anggara,amazing
nining kriswanti,hebat berita terbaru dj
Cucu Munawar,objektif 
Nur Nung,beritanya kejadian sdh mincul
Donni Halman,good   
Agik Mardiyanto,sangat membantu
es kurniawan,satu satunya situs berita hp saya 
Radika Indra,selalu andalan berita terkini  tolong diperbanyak berita sepakbolanya 
Siti Hajar,puas
Wawan Zhie (Noname),no recomended
Dasa Ga,mohon izin pak dewan ukuran pakaian seragam hut ri tingkat kecamatan  terimakasih                  
Henardi Tan,iklan lazada menganggu  tolong perbaiki
Yanuar Sugiharto,login ruwet gabung mpc
Asen Tamba,menguduh detikcom karna live motogp   
Panther S,independen
Setiadi Dudi,beritanya terpercaya
Gustav Gultom,beritanya update aktual
Rayhan Muhammad adam,terima kasih indonesia
Nur Adib,good news with balance
Sri Wilujeng,mbah kakong  com    
syafa'at haru prahara,berita konsisten terupdate  mantabz
Aryo Garudo,siip
Achmad Rofik,bagus tingkatkan melebihi ekspektasi harapan
agus dhanang purnomo,susah login mempersulit
Syafruddin Mangerangi,excellent
Hendi Sonto30,merasa kesulitan komentar 
herjon silaban0808,beritanya dipercaya
Rasya HU,muantap pol     
Nengah Budiarta,tetus berkarya
Khairunas,berita nya error  
Wandi Cakram,enak beritanya
Gogon Aja,selalu cepat updatenya       mantap
Agus Jarwo Suranto (Jarwo),sangat bermanfaat
Sunarso,banyak iklannya  beritanya ngak bermutu 
Benny Nathanael,super ads  thanks 
Diah Parwati,berita dan informasi di detik dan cnn cnbc makin hari makin buruk bahkan informasinya ini di ulang ulang terus sampai diganti judulnya saja biar heboh di media sosial informasi kurang bermutu mending unistall aplikasi banyak aplikasi informasi sebelah yang terpercaya 
Eka Budhi Santosa,bagus  uptodate
Fadly Saputra,dere
Alternatif Current,informatif  ter update  
Pengguna Google,berita akurat  terdepan mantap 
Ganden Kingdom,beritanya pengulangan  
Gayung Kasep,detik com hebat
pilar pinael,good news app
sisal sisal,oke banget
Sobex Wahyudi,top       
Salam jailani,berita nya bagus
Ahmad Gibran,biar bintang bicara
Uco Sugianto,susah koment  artikel login berulang ulang
Arief Reynaldi,berita uptodate  perkembangan berita terkini belahan dunia tanah air
nopri bae,berita nya yg nya
Arya Agung SW,setiap slalu sy buka detikcom cemilan pengisi informasi  pengetahuan    thanks
Wiji Pramajati,terima kasih
Mang Joel,berita cpt
edi haryudi,ga iklan deh
Mulyadi Melwika,terbaik
Abdul Rohman,xx                            
Rudi Ismaun,berita nya nyata
Tasmadi Id,mantap detik com
